127.0.0.1 - - [27/Jan/2022:14:02:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:04 +0900] "GET /milkyWayForest/index.jsp HTTP/1.1" 200 18209
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/css/thirdScroll.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/css/back-to-top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/css/jquery.fullPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/css/body.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/css/footer_mobile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/js/body.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/image/main1_Image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/image/milkyWayForestLogo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/image/mainImage3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/js/jquery.fullPage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/image/imageSlide.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/css/header_mobile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/css/header_tablet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/css/thirdScroll.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/css/body_mobile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/css/body_tablet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:05 +0900] "GET /milkyWayForest/image/mainImage2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:06 +0900] "GET /milkyWayForest/image/SoopIcon2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2022:14:02:33 +0900] "GET /milkyWayForest/login/loginForm HTTP/1.1" 200 13039
